formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 53 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.322
formula_perception_1  | x:-0.222743,	y:0.0233237
formula_perception_1  | obj_id = 2,  x = 280, y = 190, w = 58 x_3d = -0.0369 y_3d = 0.197 z_3d = nan, prob = 0.295
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 54 x_3d = -0.0227 y_3d = 0.199 z_3d = 1.61, prob = 0.309
formula_perception_1  | x:-0.22218,	y:0.0232647
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 52 x_3d = -0.0227 y_3d = 0.195 z_3d = 1.61, prob = 0.279
formula_perception_1  | x:-0.218079,	y:0.0233175
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 58 x_3d = -0.0414 y_3d = 0.2 z_3d = 1.64, prob = 0.286
formula_perception_1  | x:-0.259061,	y:0.00965537
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 54 x_3d = -0.0227 y_3d = 0.195 z_3d = 1.61, prob = 0.291
formula_perception_1  | x:-0.222531,	y:0.0233014
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 52 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.303
formula_perception_1  | x:-0.222548,	y:0.0233033
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 51 x_3d = -0.0321 y_3d = 0.194 z_3d = 1.62, prob = 0.301
formula_perception_1  | x:-0.223731,	y:0.0188001
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 50 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.289
formula_perception_1  | x:-0.223134,	y:0.0233646
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 49 x_3d = -0.0367 y_3d = 0.2 z_3d = 1.62, prob = 0.288
formula_perception_1  | x:-0.22385,	y:0.0234397
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 49 x_3d = -0.0367 y_3d = 0.2 z_3d = 1.62, prob = 0.297
formula_perception_1  | x:-0.224,	y:0.0234554
formula_perception_1  | obj_id = 2,  x = 287, y = 192, w = 49 x_3d = -0.0321 y_3d = 0.193 z_3d = 1.62, prob = 0.308
formula_perception_1  | x:-0.219127,	y:0.0188021
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 49 x_3d = -0.0367 y_3d = 0.2 z_3d = 1.62, prob = 0.307
formula_perception_1  | x:-0.223924,	y:0.0234473
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 49 x_3d = -0.0367 y_3d = 0.199 z_3d = 1.62, prob = 0.285
formula_perception_1  | x:-0.223898,	y:0.0234446
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 56 x_3d = -0.0462 y_3d = 0.188 z_3d = nan, prob = 0.297
formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 53 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.284
formula_perception_1  | x:-0.222702,	y:0.0233195
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 59 x_3d = -0.0415 y_3d = 0.2 z_3d = 1.64, prob = 0.253
formula_perception_1  | x:-0.259204,	y:0.00966078
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 54 x_3d = -0.0227 y_3d = 0.199 z_3d = 1.61, prob = 0.311
formula_perception_1  | x:-0.222131,	y:0.0232596
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 59 x_3d = -0.0415 y_3d = 0.2 z_3d = 1.64, prob = 0.266
formula_perception_1  | x:-0.259248,	y:0.00966235
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 54 x_3d = -0.0227 y_3d = 0.199 z_3d = 1.61, prob = 0.289
formula_perception_1  | x:-0.222258,	y:0.0232729
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 59 x_3d = -0.0415 y_3d = 0.2 z_3d = 1.64, prob = 0.3
formula_perception_1  | x:-0.259187,	y:0.00966008
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 54 x_3d = -0.0181 y_3d = 0.198 z_3d = 1.61, prob = 0.292
formula_perception_1  | x:-0.217402,	y:0.0232452
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 59 x_3d = -0.0415 y_3d = 0.2 z_3d = 1.64, prob = 0.274
formula_perception_1  | x:-0.258922,	y:0.00965022
formula_perception_1  | obj_id = 2,  x = 286, y = 194, w = 55 x_3d = -0.0227 y_3d = 0.204 z_3d = 1.6, prob = 0.293
formula_perception_1  | x:-0.221779,	y:0.0278096
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 52 x_3d = -0.0274 y_3d = 0.195 z_3d = 1.61, prob = 0.295
formula_perception_1  | x:-0.222746,	y:0.023324
